,Tipo,Bairro,Quartos,Vagas,Suites,Area,Valor,Condominio,IPTU
3,Apartamento,Centro,1,0,0,15,800.0,390.0,20.0
4,Apartamento,Higienópolis,1,0,0,48,800.0,230.0,0.0
5,Apartamento,Cachambi,2,0,0,50,1300.0,301.0,17.0
9,Apartamento,Grajaú,2,1,0,70,1500.0,642.0,74.0
10,Apartamento,Lins de Vasconcelos,3,1,1,90,1500.0,455.0,14.0
11,Apartamento,Copacabana,1,0,1,40,2000.0,561.0,50.0
17,Apartamento,Freguesia (Jacarepaguá),3,0,0,54,950.0,300.0,28.0
18,Apartamento,Barra da Tijuca,2,1,1,67,1700.0,589.0,147.0
19,Apartamento,Tijuca,2,1,0,110,1900.0,700.0,138.0
21,Apartamento,Olaria,3,1,0,68,1000.0,670.0,0.0
22,Apartamento,Tijuca,2,1,0,78,2000.0,700.0,0.0
25,Apartamento,Ipanema,3,1,1,125,7000.0,2100.0,463.0
26,Apartamento,Tijuca,1,0,0,48,750.0,772.0,25.0
28,Apartamento,Barra da Tijuca,3,3,1,175,4200.0,1500.0,500.0
30,Apartamento,Botafogo,2,1,0,76,2500.0,740.0,0.0
32,Apartamento,Copacabana,3,0,0,180,5500.0,1780.0,420.0
34,Apartamento,Recreio dos Bandeirantes,3,1,1,105,2300.0,648.0,0.0
35,Apartamento,Leblon,3,1,0,110,3900.0,1500.0,120.0
38,Apartamento,Jardim Oceânico,3,3,1,200,3500.0,1780.0,496.0
39,Apartamento,Barra da Tijuca,3,1,2,70,1800.0,1095.0,140.0
41,Apartamento,Copacabana,4,1,0,244,5000.0,2500.0,4100.0
42,Apartamento,Barra da Tijuca,3,2,1,110,4500.0,2000.0,450.0
45,Apartamento,Recreio dos Bandeirantes,2,2,2,90,3000.0,1340.0,0.0
46,Apartamento,Recreio dos Bandeirantes,3,2,2,100,2600.0,380.0,0.0
47,Apartamento,Barra da Tijuca,3,1,1,72,2350.0,600.0,70.0
48,Apartamento,Humaitá,2,2,1,180,4000.0,2500.0,300.0
49,Apartamento,Recreio dos Bandeirantes,3,1,2,92,2300.0,840.0,200.0
52,Apartamento,Centro,1,0,0,27,750.0,371.0,19.0
53,Apartamento,Ipanema,1,0,0,35,2000.0,650.0,75.0
54,Apartamento,Ipanema,1,0,0,38,1400.0,530.0,77.0
55,Apartamento,Recreio dos Bandeirantes,2,1,2,83,1600.0,1160.0,157.0
58,Apartamento,Barra da Tijuca,4,3,3,153,6500.0,2300.0,434.0
61,Apartamento,Ipanema,3,1,0,87,3200.0,1305.0,217.0
62,Apartamento,Méier,3,1,0,90,1550.0,844.0,80.0
63,Apartamento,Vargem Pequena,3,1,0,53,1400.0,385.0,28.0
64,Apartamento,Botafogo,3,1,1,108,5950.0,1405.0,289.0
65,Apartamento,Maracanã,2,0,0,86,1800.0,600.0,82.0
66,Apartamento,Recreio dos Bandeirantes,2,1,1,74,1850.0,675.0,200.0
68,Apartamento,Jacarepaguá,3,1,1,74,1900.0,556.0,98.0
69,Apartamento,Ipanema,3,2,1,150,8000.0,2400.0,0.0
71,Apartamento,Ipanema,3,1,1,140,7900.0,2900.0,500.0
73,Apartamento,Jardim Botânico,2,2,0,95,4000.0,1170.0,0.0
74,Apartamento,Cachambi,2,0,0,60,1000.0,380.0,280.0
85,Apartamento,Leblon,2,1,1,80,3500.0,990.0,245.0
87,Apartamento,Barra da Tijuca,3,2,1,104,2600.0,1364.0,406.0
88,Apartamento,Vila Valqueire,2,1,0,45,800.0,280.0,14.0
89,Apartamento,Gávea,2,1,0,70,2800.0,680.0,98.0
90,Apartamento,Barra da Tijuca,2,1,1,88,2700.0,1300.0,2042.0
91,Apartamento,Centro,1,1,0,37,1100.0,540.0,900.0
92,Apartamento,Cosme Velho,3,4,0,130,5500.0,1407.0,246.0
93,Apartamento,Bonsucesso,2,1,0,77,1500.0,740.0,0.0
94,Apartamento,Barra da Tijuca,3,2,2,85,2500.0,1400.0,190.0
95,Apartamento,Todos os Santos,3,1,1,78,1450.0,630.0,73.0
96,Apartamento,Laranjeiras,2,1,0,54,2300.0,582.0,0.0
98,Apartamento,Jacarepaguá,2,1,1,69,2000.0,780.0,0.0
99,Apartamento,Ipanema,3,1,1,120,7000.0,1800.0,370.0
101,Apartamento,Barra da Tijuca,2,1,1,78,2750.0,1300.0,138.0
103,Apartamento,Itanhangá,2,1,0,60,1000.0,450.0,150.0
104,Apartamento,Recreio dos Bandeirantes,2,1,1,90,2400.0,1700.0,135.0
106,Apartamento,Humaitá,2,1,0,86,4000.0,1259.0,188.0
108,Apartamento,Barra da Tijuca,1,1,1,70,1700.0,870.0,143.0
110,Apartamento,Tijuca,2,1,0,80,1800.0,1100.0,84.0
114,Apartamento,Tijuca,3,1,0,172,2700.0,780.0,170.0
115,Apartamento,Freguesia (Jacarepaguá),4,3,2,261,2800.0,2535.0,3900.0
117,Apartamento,Ipanema,3,1,1,145,8000.0,14768.0,4394.0
118,Apartamento,Olaria,2,1,0,53,1100.0,160.0,0.0
120,Apartamento,Botafogo,2,1,1,83,2800.0,560.0,138.0
121,Apartamento,Botafogo,2,1,1,80,4300.0,1178.0,187.0
127,Apartamento,Leblon,3,2,1,147,7500.0,1028.0,247.0
128,Apartamento,Copacabana,2,1,0,67,3500.0,950.0,160.0
130,Apartamento,Barra da Tijuca,4,3,2,220,7500.0,3911.0,716.0
131,Apartamento,Catete,2,0,0,77,2400.0,1130.0,140.0
133,Apartamento,Jardim Carioca,2,1,0,55,1350.0,430.0,47.0
135,Apartamento,Leblon,3,1,0,85,3900.0,800.0,1211.0
136,Apartamento,Catete,2,0,0,75,3350.0,455.0,0.0
137,Apartamento,Recreio dos Bandeirantes,3,2,1,90,1200.0,880.0,144.0
143,Apartamento,Praça Seca,2,0,0,80,900.0,350.0,0.0
144,Apartamento,Vila Isabel,1,0,0,37,1000.0,285.0,24.0
148,Apartamento,Copacabana,3,0,0,150,5500.0,1780.0,420.0
149,Apartamento,Lagoa,3,1,1,127,5000.0,1540.0,370.0
150,Apartamento,Freguesia (Jacarepaguá),2,1,1,74,1700.0,652.0,104.0
154,Apartamento,Barra da Tijuca,3,2,1,128,3000.0,1384.0,324.0
156,Apartamento,Gávea,3,1,1,160,8000.0,2000.0,0.0
158,Apartamento,Copacabana,3,1,1,200,6200.0,1800.0,420.0
159,Apartamento,Barra da Tijuca,2,1,0,58,1500.0,666.0,106.0
160,Apartamento,Botafogo,3,1,1,100,5500.0,1300.0,220.0
161,Apartamento,Barra da Tijuca,4,2,3,320,5500.0,2700.0,800.0
162,Apartamento,Recreio dos Bandeirantes,2,1,1,75,1000.0,1040.0,112.0
172,Apartamento,Recreio dos Bandeirantes,3,2,1,104,2200.0,740.0,258.0
174,Apartamento,Barra da Tijuca,2,1,1,72,2600.0,1700.0,237.0
175,Apartamento,Taquara,2,1,0,75,1200.0,330.0,75.0
177,Apartamento,Botafogo,4,1,1,190,5500.0,1720.0,350.0
180,Apartamento,Méier,2,0,0,56,899.0,402.0,135.0
182,Apartamento,Freguesia (Jacarepaguá),2,1,1,71,1200.0,600.0,54.0
183,Apartamento,Lagoa,3,1,2,105,3600.0,1100.0,281.0
185,Apartamento,Tijuca,3,0,0,87,1600.0,650.0,100.0
186,Apartamento,Botafogo,1,0,0,35,1500.0,470.0,50.0
190,Apartamento,Copacabana,3,0,0,100,3300.0,850.0,90.0
191,Apartamento,Barra da Tijuca,3,1,2,93,2500.0,1100.0,0.0
192,Apartamento,Engenho Novo,2,2,0,78,800.0,915.0,55.0
193,Apartamento,Barra da Tijuca,2,1,1,85,2500.0,1573.0,197.0
194,Apartamento,Leblon,2,1,1,115,7500.0,980.0,270.0
195,Apartamento,Botafogo,2,1,1,70,3700.0,1133.0,147.0
196,Apartamento,Freguesia (Jacarepaguá),2,1,1,95,1600.0,650.0,0.0
199,Apartamento,Campo Grande,2,0,0,60,1200.0,570.0,0.0
200,Apartamento,Flamengo,1,0,0,40,1900.0,430.0,54.0
202,Apartamento,Engenho de Dentro,3,1,1,61,1400.0,498.0,0.0
203,Apartamento,Copacabana,3,2,1,250,7000.0,1500.0,434.0
207,Apartamento,Copacabana,3,1,0,140,3700.0,1347.0,0.0
209,Apartamento,Copacabana,2,0,0,50,2500.0,750.0,760.0
212,Apartamento,Tijuca,3,1,1,78,2500.0,730.0,178.0
215,Apartamento,Lagoa,3,1,1,75,4000.0,1250.0,309.0
217,Apartamento,Recreio dos Bandeirantes,3,2,1,102,1850.0,882.0,0.0
218,Apartamento,Tijuca,1,0,0,65,1200.0,320.0,0.0
219,Apartamento,Barra da Tijuca,2,1,0,60,1500.0,1266.0,233.0
221,Apartamento,Maracanã,3,2,3,158,2400.0,1265.0,0.0
222,Apartamento,Barra da Tijuca,2,1,1,83,2000.0,1548.0,260.0
223,Apartamento,Laranjeiras,5,2,1,400,9000.0,3000.0,0.0
224,Apartamento,Barra da Tijuca,3,1,1,84,1900.0,1103.0,212.0
225,Apartamento,Freguesia (Jacarepaguá),3,1,1,77,1600.0,850.0,165.0
228,Apartamento,Tijuca,3,0,0,75,1800.0,350.0,0.0
229,Apartamento,Ipanema,3,1,1,126,5500.0,1400.0,2000.0
239,Apartamento,Freguesia (Jacarepaguá),3,3,2,173,3200.0,1800.0,0.0
240,Apartamento,Tijuca,2,1,1,71,1500.0,600.0,0.0
241,Apartamento,Barra da Tijuca,2,1,1,81,1900.0,1200.0,121.0
243,Apartamento,Leblon,3,1,0,87,3800.0,970.0,273.0
248,Apartamento,Laranjeiras,4,1,2,288,7000.0,1870.0,582.0
250,Apartamento,Recreio dos Bandeirantes,1,1,1,102,1900.0,688.0,0.0
251,Apartamento,Leblon,2,1,0,70,4200.0,1100.0,200.0
252,Apartamento,Pilares,3,0,0,65,1200.0,350.0,16.0
254,Apartamento,Barra da Tijuca,3,3,2,169,6500.0,1886.0,450.0
256,Apartamento,Laranjeiras,3,1,1,90,2400.0,1311.0,0.0
257,Apartamento,Tijuca,2,0,0,50,1800.0,347.0,25.0
258,Apartamento,Ipanema,3,1,1,140,6500.0,1800.0,506.0
259,Apartamento,Campo Grande,2,0,0,60,800.0,380.0,0.0
262,Apartamento,Centro,1,0,0,35,1350.0,420.0,24.0
263,Apartamento,Tijuca,2,0,0,63,1400.0,440.0,61.0
265,Apartamento,Copacabana,3,1,0,112,3800.0,1123.0,286.0
267,Apartamento,Tijuca,3,1,0,129,1800.0,850.0,116.0
268,Apartamento,Barra da Tijuca,4,3,3,160,8600.0,2300.0,250.0
270,Apartamento,Recreio dos Bandeirantes,2,1,1,93,1400.0,1300.0,0.0
271,Apartamento,Freguesia (Jacarepaguá),3,1,1,93,1800.0,650.0,95.0
272,Apartamento,Barra da Tijuca,1,1,1,60,2200.0,1600.0,350.0
274,Apartamento,Taquara,2,2,0,55,790.0,350.0,0.0
276,Apartamento,Copacabana,2,0,0,54,1800.0,590.0,0.0
280,Apartamento,Catete,2,1,1,70,3300.0,1365.0,180.0
282,Apartamento,Maracanã,2,1,0,53,1300.0,492.0,16.0
283,Apartamento,Botafogo,1,0,0,35,1000.0,293.0,86.0
284,Apartamento,Tijuca,3,1,0,164,3500.0,1310.0,257.0
285,Apartamento,Jacarepaguá,2,1,1,60,1200.0,524.0,13.0
286,Apartamento,Água Santa,2,1,0,50,850.0,280.0,12.0
287,Apartamento,Botafogo,2,1,1,79,4315.0,1110.0,187.0
288,Apartamento,Recreio dos Bandeirantes,2,1,1,80,1600.0,615.0,3.0
289,Apartamento,Tijuca,1,0,0,36,1300.0,295.0,24.0
290,Apartamento,Jardim Oceânico,4,4,3,190,5700.0,1069.0,808.0
291,Apartamento,Freguesia (Jacarepaguá),3,1,0,84,1500.0,900.0,0.0
292,Apartamento,São Cristóvão,2,0,0,50,1000.0,600.0,0.0
298,Apartamento,Ilha do Governador,3,1,0,83,1500.0,440.0,132.0
299,Apartamento,Olaria,2,0,0,90,1000.0,150.0,0.0
300,Apartamento,Humaitá,1,0,0,57,3990.0,860.0,100.0
301,Apartamento,Maracanã,3,1,0,95,2500.0,600.0,80.0
305,Apartamento,Barra da Tijuca,2,1,1,63,1900.0,824.0,0.0
306,Apartamento,Gávea,2,1,1,100,3900.0,1300.0,320.0
307,Apartamento,Ipanema,3,2,1,165,7500.0,2200.0,532.0
310,Apartamento,Ipanema,3,2,2,160,6000.0,3500.0,4600.0
312,Apartamento,Flamengo,1,1,0,48,2100.0,580.0,70.0
313,Apartamento,Leblon,2,1,1,87,4800.0,1300.0,361.0
315,Apartamento,Barra da Tijuca,3,1,1,105,2500.0,1400.0,1500.0
322,Apartamento,Barra da Tijuca,3,1,1,80,3500.0,1410.0,270.0
324,Apartamento,Botafogo,3,1,1,102,5100.0,1300.0,0.0
325,Apartamento,Gávea,3,0,1,120,2700.0,880.0,238.0
326,Apartamento,Humaitá,2,2,1,112,4500.0,1300.0,0.0
329,Apartamento,Vila da Penha,2,0,0,60,900.0,160.0,25.0
331,Apartamento,Lagoa,1,1,0,75,2800.0,800.0,210.0
332,Apartamento,Ipanema,3,1,1,125,7000.0,2100.0,463.0
335,Apartamento,Engenho Novo,2,0,0,53,1400.0,460.0,12.0
336,Apartamento,Recreio dos Bandeirantes,3,3,1,132,2800.0,879.0,0.0
338,Apartamento,Barra da Tijuca,2,2,1,86,3500.0,1307.0,0.0
339,Apartamento,Recreio dos Bandeirantes,2,1,1,80,1700.0,690.0,150.0
341,Apartamento,Recreio dos Bandeirantes,4,2,2,200,3600.0,1177.0,320.0
344,Apartamento,Barra da Tijuca,2,1,1,77,2500.0,830.0,156.0
345,Apartamento,Engenho Novo,1,1,0,63,700.0,625.0,36.0
348,Apartamento,Barra da Tijuca,4,2,2,149,4500.0,2130.0,0.0
349,Apartamento,Recreio dos Bandeirantes,3,2,2,106,2500.0,780.0,248.0
351,Apartamento,Anil,2,1,0,48,1100.0,400.0,0.0
353,Apartamento,Gávea,2,1,1,68,2700.0,850.0,186.0
354,Apartamento,Barra da Tijuca,2,1,1,75,1400.0,1280.0,0.0
356,Apartamento,Ipanema,2,1,1,97,7000.0,4000.0,4725.0
359,Apartamento,Cachambi,3,0,0,70,900.0,200.0,30.0
361,Apartamento,Copacabana,4,2,1,279,3150.0,2025.0,370.0
367,Apartamento,Cachambi,2,1,0,70,950.0,530.0,30.0
371,Apartamento,Recreio dos Bandeirantes,4,2,1,400,3500.0,800.0,500.0
374,Apartamento,Recreio dos Bandeirantes,2,1,1,89,1800.0,884.0,170.0
375,Apartamento,Maracanã,1,1,1,120,1000.0,985.0,150.0
376,Apartamento,Recreio dos Bandeirantes,4,3,2,181,3500.0,1080.0,423.0
378,Apartamento,Tijuca,2,1,1,70,1500.0,890.0,68.0
381,Apartamento,Vaz Lobo,2,0,0,70,1000.0,32.0,0.0
386,Apartamento,Madureira,2,0,0,40,600.0,415.0,0.0
387,Apartamento,Recreio dos Bandeirantes,2,0,0,75,1700.0,659.0,0.0
388,Apartamento,Copacabana,2,1,1,81,2900.0,893.0,190.0
394,Apartamento,Praça Seca,3,0,0,90,900.0,330.0,15.0
395,Apartamento,Vila Isabel,3,3,1,124,1700.0,1400.0,0.0
396,Apartamento,Recreio dos Bandeirantes,5,3,4,430,6000.0,899.0,750.0
398,Apartamento,Ipanema,2,0,1,75,5200.0,476.0,120.0
402,Apartamento,Freguesia (Jacarepaguá),3,2,1,126,1500.0,1000.0,150.0
403,Apartamento,Laranjeiras,2,1,1,70,2300.0,620.0,190.0
404,Apartamento,Recreio dos Bandeirantes,3,2,1,94,1900.0,1300.0,198.0
405,Apartamento,Barra da Tijuca,4,3,4,192,5000.0,2200.0,562.0
407,Apartamento,Copacabana,1,0,0,43,1600.0,452.0,242.0
408,Apartamento,Barra da Tijuca,2,1,1,70,2200.0,780.0,0.0
409,Apartamento,São Francisco Xavier,3,1,1,73,1200.0,520.0,0.0
410,Apartamento,Copacabana,3,0,0,120,3000.0,1420.0,0.0
414,Apartamento,Pechincha,2,1,0,64,800.0,248.0,14.0
415,Apartamento,Copacabana,1,0,0,45,2800.0,450.0,30.0
417,Apartamento,Laranjeiras,2,0,0,110,2500.0,968.0,167.0
420,Apartamento,Flamengo,2,0,0,85,2700.0,800.0,1150.0
421,Apartamento,Leme,3,1,1,175,8000.0,1380.0,0.0
424,Apartamento,Jacarepaguá,2,1,0,68,1100.0,540.0,0.0
425,Apartamento,Humaitá,2,1,0,64,2500.0,520.0,0.0
427,Apartamento,Copacabana,1,0,1,37,2500.0,447.0,20.0
431,Apartamento,Barra da Tijuca,14,2,2,212,5000.0,1200.0,650.0
432,Apartamento,Irajá,2,1,0,65,1100.0,255.0,0.0
433,Apartamento,Barra da Tijuca,2,2,1,105,3000.0,1500.0,0.0
436,Apartamento,Vila Isabel,2,1,0,70,1100.0,550.0,0.0
438,Apartamento,Gávea,3,1,1,108,5000.0,1769.0,226.0
439,Apartamento,Recreio dos Bandeirantes,2,1,2,85,2300.0,1350.0,125.0
440,Apartamento,Catete,1,0,0,45,1600.0,500.0,55.0
445,Apartamento,Barra da Tijuca,3,2,3,160,7000.0,1087.0,455.0
449,Apartamento,Lagoa,3,2,1,130,5000.0,1000.0,300.0
450,Apartamento,Freguesia (Jacarepaguá),3,2,1,100,2100.0,780.0,140.0
452,Apartamento,Freguesia (Jacarepaguá),3,2,3,180,5500.0,1200.0,318.0
453,Apartamento,Copacabana,3,0,0,80,2500.0,800.0,157.0
456,Apartamento,Recreio dos Bandeirantes,3,1,1,85,1900.0,450.0,112.0
460,Apartamento,Barra da Tijuca,5,4,3,171,9000.0,2000.0,3500.0
461,Apartamento,Centro,1,0,0,42,2200.0,619.0,202.0
462,Apartamento,Méier,2,1,0,62,1000.0,600.0,38.0
471,Apartamento,Grajaú,2,0,0,65,1400.0,415.0,21.0
473,Apartamento,Copacabana,1,0,0,43,1800.0,639.0,76.0
474,Apartamento,Lagoa,2,1,1,80,2200.0,2600.0,420.0
476,Apartamento,Flamengo,2,1,0,57,2800.0,832.0,98.0
477,Apartamento,Campo Grande,3,1,1,98,1800.0,950.0,0.0
478,Apartamento,Jardim Botânico,3,1,2,170,6000.0,860.0,540.0
484,Apartamento,Ipanema,1,0,1,50,2400.0,897.0,26.0
487,Apartamento,Recreio dos Bandeirantes,3,2,1,150,2500.0,1012.0,0.0
490,Apartamento,Copacabana,2,0,0,65,2700.0,710.0,130.0
491,Apartamento,Recreio dos Bandeirantes,4,3,2,300,4500.0,1500.0,580.0
492,Apartamento,Recreio dos Bandeirantes,2,2,1,115,1900.0,661.0,0.0
495,Apartamento,Recreio dos Bandeirantes,3,3,1,110,1500.0,873.0,0.0
503,Apartamento,Tijuca,3,1,0,88,2300.0,790.0,885.0
504,Apartamento,Ipanema,3,1,1,145,7200.0,2900.0,500.0
506,Apartamento,Urca,1,0,0,53,2800.0,770.0,0.0
507,Apartamento,Ipanema,3,1,1,116,5000.0,1600.0,316.0
508,Apartamento,Tijuca,3,1,0,116,2000.0,790.0,194.0
509,Apartamento,Vila Isabel,3,0,0,82,1200.0,664.0,86.0
511,Apartamento,Barra da Tijuca,3,2,1,130,4800.0,1700.0,433.0
512,Apartamento,Freguesia (Jacarepaguá),3,1,1,90,1700.0,595.0,0.0
513,Apartamento,Flamengo,2,1,0,68,2000.0,536.0,148.0
514,Apartamento,Copacabana,1,0,0,60,2800.0,620.0,128.0
516,Apartamento,Taquara,2,1,0,53,1100.0,450.0,150.0
517,Apartamento,Penha,2,0,0,64,950.0,180.0,0.0
518,Apartamento,Jardim Botânico,3,1,1,130,6400.0,1500.0,0.0
520,Apartamento,Leblon,2,1,0,90,3500.0,1300.0,200.0
521,Apartamento,Leblon,4,2,4,200,8500.0,2710.0,945.0
523,Apartamento,Tijuca,1,1,1,84,2000.0,718.0,120.0
526,Apartamento,Flamengo,1,0,0,30,1490.0,315.0,55.0
529,Apartamento,Maracanã,2,0,0,79,1700.0,600.0,0.0
530,Apartamento,Copacabana,1,1,0,150,3000.0,1200.0,390.0
533,Apartamento,Barra da Tijuca,3,2,3,156,5500.0,2300.0,398.0
536,Apartamento,Flamengo,1,0,1,38,1450.0,690.0,55.0
537,Apartamento,Botafogo,2,0,0,115,2200.0,1045.0,190.0
539,Apartamento,Tijuca,2,0,0,49,1800.0,180.0,0.0
541,Apartamento,Jacarepaguá,2,1,1,80,1900.0,1350.0,100.0
542,Apartamento,Copacabana,2,0,0,120,3800.0,1000.0,197.0
543,Apartamento,Barra da Tijuca,2,1,1,70,1800.0,681.0,120.0
546,Apartamento,Bonsucesso,3,1,0,98,2800.0,390.0,0.0
547,Apartamento,Barra da Tijuca,2,1,1,70,3240.0,950.0,0.0
548,Apartamento,Flamengo,2,1,0,90,3200.0,980.0,0.0
550,Apartamento,Ipanema,2,0,0,99,3300.0,920.0,0.0
552,Apartamento,Copacabana,3,1,0,80,3100.0,700.0,1208.0
553,Apartamento,Copacabana,2,1,0,74,2600.0,1021.0,0.0
554,Apartamento,Humaitá,2,1,0,75,2900.0,926.0,90.0
555,Apartamento,Barra da Tijuca,4,3,4,250,9500.0,2800.0,523.0
557,Apartamento,Recreio dos Bandeirantes,2,1,1,80,1600.0,770.0,108.0
558,Apartamento,Recreio dos Bandeirantes,3,4,1,217,3300.0,947.0,547.0
561,Apartamento,São Conrado,3,2,1,140,4700.0,1620.0,515.0
562,Apartamento,Barra da Tijuca,4,3,2,260,7500.0,3550.0,350.0
563,Apartamento,Laranjeiras,2,0,0,85,2100.0,700.0,95.0
564,Apartamento,Rio Comprido,2,1,0,69,1900.0,600.0,70.0
565,Apartamento,Freguesia (Jacarepaguá),1,1,0,49,1050.0,580.0,36.0
566,Apartamento,Andaraí,2,1,0,56,1900.0,607.0,89.0
570,Apartamento,Barra da Tijuca,4,3,3,180,7000.0,1935.0,449.0
571,Apartamento,Copacabana,2,0,0,81,3000.0,770.0,159.0
572,Apartamento,Barra da Tijuca,2,1,1,88,2400.0,1313.0,0.0
574,Apartamento,Vargem Pequena,2,1,1,80,1100.0,650.0,0.0
576,Apartamento,Ipanema,3,3,3,169,9000.0,2300.0,886.0
580,Apartamento,Quintino Bocaiúva,2,0,0,67,900.0,320.0,0.0
584,Apartamento,Leblon,3,1,0,74,3300.0,700.0,83.0
585,Apartamento,Copacabana,2,0,0,110,2800.0,800.0,120.0
586,Apartamento,Leme,1,0,0,31,1140.0,420.0,24.0
588,Apartamento,Recreio dos Bandeirantes,2,2,1,90,1500.0,720.0,199.0
592,Apartamento,Barra da Tijuca,2,1,0,70,2400.0,1800.0,150.0
594,Apartamento,Inhaúma,3,1,0,60,750.0,236.0,0.0
596,Apartamento,Glória,1,0,0,48,1400.0,480.0,20.0
597,Apartamento,Copacabana,5,1,1,400,8500.0,2160.0,365.0
598,Apartamento,Ipanema,2,1,0,45,3000.0,575.0,25.0
599,Apartamento,Pechincha,2,1,0,65,950.0,640.0,126.0
600,Apartamento,Leblon,2,0,0,100,3800.0,900.0,195.0
601,Apartamento,Grajaú,3,2,1,90,2950.0,700.0,100.0
604,Apartamento,Marechal Hermes,2,1,0,70,850.0,200.0,0.0
605,Apartamento,Grajaú,1,0,0,30,800.0,283.0,187.0
606,Apartamento,Praça Seca,2,1,1,63,1100.0,361.0,0.0
609,Apartamento,Recreio dos Bandeirantes,2,2,1,72,1580.0,900.0,140.0
610,Apartamento,Laranjeiras,2,0,0,51,1900.0,450.0,25.0
611,Apartamento,Botafogo,1,0,0,17,1100.0,330.0,15.0
612,Apartamento,Botafogo,3,0,0,100,6050.0,1155.0,234.0
613,Apartamento,Lagoa,2,1,1,90,2700.0,1350.0,250.0
614,Apartamento,Lagoa,3,3,3,230,6000.0,4600.0,990.0
615,Apartamento,Pechincha,2,1,1,62,1700.0,500.0,67.0
616,Apartamento,Leblon,2,2,1,113,3500.0,1365.0,387.0
617,Apartamento,Flamengo,1,0,0,49,1700.0,440.0,68.0
619,Apartamento,Méier,1,0,0,53,900.0,484.0,37.0
620,Apartamento,Vila Isabel,2,1,0,63,1300.0,500.0,0.0
628,Apartamento,Humaitá,3,1,0,95,2300.0,1300.0,120.0
629,Apartamento,Flamengo,1,0,0,37,2300.0,485.0,56.0
630,Apartamento,Curicica,1,1,0,45,700.0,356.0,126.0
631,Apartamento,Barra da Tijuca,2,1,0,90,2000.0,980.0,1600.0
633,Apartamento,Barra da Tijuca,1,1,1,80,1700.0,980.0,250.0
635,Apartamento,Barra da Tijuca,2,1,1,70,2200.0,1000.0,70.0
636,Apartamento,Barra da Tijuca,4,3,1,190,5500.0,1600.0,435.0
641,Apartamento,Copacabana,3,1,0,140,3500.0,1250.0,0.0
642,Apartamento,Tijuca,1,1,1,87,1400.0,1057.0,162.0
643,Apartamento,Barra da Tijuca,4,3,2,210,5300.0,2080.0,500.0
646,Apartamento,Méier,1,0,0,50,1000.0,390.0,16.0
648,Apartamento,Flamengo,4,1,0,240,6000.0,2050.0,701.0
650,Apartamento,Ipanema,3,1,1,140,7200.0,2900.0,500.0
652,Apartamento,Jardim Botânico,2,1,1,86,4100.0,830.0,257.0
653,Apartamento,Recreio dos Bandeirantes,4,3,4,203,6000.0,1200.0,420.0
654,Apartamento,Leblon,3,1,0,110,6200.0,885.0,0.0
657,Apartamento,Tijuca,2,1,0,60,1800.0,420.0,0.0
659,Apartamento,Barra da Tijuca,2,1,1,140,4500.0,910.0,420.0
660,Apartamento,Andaraí,1,0,1,30,1100.0,580.0,0.0
661,Apartamento,Pechincha,2,1,0,52,700.0,420.0,35.0
662,Apartamento,Recreio dos Bandeirantes,2,1,1,75,2300.0,1220.0,134.0
663,Apartamento,Freguesia (Jacarepaguá),2,1,0,55,1000.0,390.0,36.0
664,Apartamento,Água Santa,2,1,0,70,800.0,250.0,14.0
666,Apartamento,Lagoa,2,1,0,77,2700.0,1050.0,302.0
667,Apartamento,Copacabana,3,1,1,194,7500.0,1710.0,4641.0
669,Apartamento,Leblon,3,3,1,208,8000.0,1700.0,965.0
672,Apartamento,Gávea,3,1,2,220,7000.0,3200.0,450.0
674,Apartamento,Barra da Tijuca,3,2,1,204,4600.0,2321.0,489.0
675,Apartamento,Barra da Tijuca,3,1,3,80,2800.0,1300.0,0.0
677,Apartamento,Barra da Tijuca,3,2,1,165,6500.0,1503.0,330.0
683,Apartamento,Leblon,3,2,1,140,4500.0,2552.0,595.0
684,Apartamento,Laranjeiras,3,1,1,150,3200.0,1504.0,301.0
685,Apartamento,Moneró,1,1,0,47,1200.0,290.0,49.0
686,Apartamento,Tijuca,2,1,0,70,1850.0,748.0,48.0
687,Apartamento,Leblon,2,1,1,82,5900.0,1128.0,300.0
688,Apartamento,Grajaú,2,0,0,70,1300.0,447.0,0.0
689,Apartamento,Recreio dos Bandeirantes,4,2,2,160,1900.0,830.0,0.0
693,Apartamento,Barra da Tijuca,3,2,1,140,4900.0,1600.0,3580.0
697,Apartamento,Flamengo,2,1,1,60,3400.0,978.0,130.0
699,Apartamento,Itanhangá,2,1,1,58,900.0,500.0,212.0
701,Apartamento,Tijuca,3,1,1,106,2050.0,872.0,1008.0
703,Apartamento,Leme,1,0,0,55,2000.0,585.0,79.0
706,Apartamento,Vila Isabel,2,1,1,79,1300.0,950.0,30.0
709,Apartamento,Barra da Tijuca,2,1,1,102,2500.0,1478.0,255.0
711,Apartamento,Copacabana,3,1,1,160,4000.0,1617.0,300.0
714,Apartamento,Copacabana,1,0,0,30,1200.0,650.0,54.0
715,Apartamento,Quintino Bocaiúva,2,0,0,80,900.0,170.0,0.0
716,Apartamento,Ipanema,3,1,0,80,4000.0,1200.0,251.0
718,Apartamento,Freguesia (Jacarepaguá),3,1,1,77,2000.0,580.0,80.0
719,Apartamento,Jardim Botânico,3,2,2,145,4680.0,1296.0,317.0
721,Apartamento,Recreio dos Bandeirantes,3,2,1,185,2500.0,1355.0,2917.0
